,feature_name,kl_divergence
222,ZNF385B,8.384663842126255
223,PTRH2,8.374941071428935
224,CMTM5,8.366922077931234
225,SEMA6A,8.358900004440768
226,SLIT2,8.333709401271484
227,SOSTDC1,8.32909520650997
228,PKNOX2,8.32540431569277
229,DES,8.319945861784545
230,TENT5B,8.283569064354458
231,CYBC1,8.270354214838957
232,MRPS34,8.267759137229795
233,RAMP3,8.25879077305084
234,CDO1,8.248680256166468
235,CBX3,8.240586079390814
236,DENND3,8.236948577484107
237,BZW2,8.21911447874997
238,LEPR,8.21449821313494
239,SLC1A1,8.205921392049602
240,PCARE,8.203548718410032
241,QPCTL,8.195645608747682
242,COLEC10,8.184144527861859
243,CLCN2,8.17483584867565
244,DUS4L,8.172701755754485
245,CYP4B1,8.162920744260472
246,PTPN21,8.154308239233096
247,STARD13,8.138741317483829
248,AC008763.3,8.129932823818837
249,ARHGAP6,8.118690348757836
250,FAM162B,8.115799652678762
251,CRYAB,8.110711470676723
252,PSMC4,8.106520018772297
253,TAL1,8.10330609464818
254,CCDC86,8.096043805451268
255,WDR75,8.088981603604735
256,MYO7B,8.0831189682765
257,DNMT3A,8.082336139767557
258,APOA1,8.082069777205085
259,ADAMTSL3,8.062453988157506
260,OR2W3,8.060537529382222
261,AIMP2,8.060182162126086
262,FOXF1,8.05316800488368
263,JAM2,8.04543938056883
264,CCM2,8.032031831238111
265,FRMD3,8.02353669907348
266,DPP6,8.019918933032958
267,RCCD1,8.00986724008054
268,KCNK3,8.00981170180505
269,FAM189A1,8.005996609567655
270,SLC27A4,7.979309729002441
271,MAST2,7.976387869372586
272,HBB,7.956939917901498
273,PRKCE,7.947613344342963
274,PTCRA,7.940726648273803
275,NKAPL,7.9248855116612305
276,TRIT1,7.8751002106877515
277,FKBPL,7.869530244953242
278,ADPRH,7.869013860500302
279,ARHGAP31,7.8536398614539245
280,VEGFD,7.85313848909661
281,C14orf132,7.846412650763119
282,PPIA,7.843144011972912
283,ST6GALNAC5,7.837204472792936
284,CCL23,7.833886736553447
285,SNRPA1,7.826487401489741
286,SUGP1,7.8118211249095495
287,CDK5,7.811360061864324
288,TRAF7,7.803240370032427
289,LRRC36,7.79132858398011
290,SFTPA1,7.7850940647590186
291,DDX56,7.781375613605004
292,SEMA5A,7.7639222553300185
293,NSF,7.754801014484896
294,SOX7,7.731617893320426
295,OTC,7.725024650767294
296,GSS,7.697683483262869
297,ODAM,7.694493814362244
298,AMOTL1,7.688845761230167
299,SIGLEC11,7.686877618959641
300,MAMDC2,7.684302565391222
301,RNF144B,7.675690596319509
302,BDNF,7.675498878629776
303,TMEM216,7.6528343583505025
304,FGF10,7.648285888441844
305,CAV2,7.644199473636385
306,ABCA3,7.639458326271395
307,LRP2BP,7.630216523508274
308,SLC6A13,7.627241382476841
309,ORC2,7.626712553236474
310,ATPSCKMT,7.622148349226786
311,POLG2,7.6211310159040275
312,PRSS35,7.6122773831093316
313,EDN3,7.6121237274465905
314,SYNDIG1L,7.609304950493683
315,SWI5,7.606234021629371
316,GJA5,7.5696312096299145
317,RPLP0,7.533835401780367
318,NRG3,7.529863243567855
319,DKK2,7.527377062264173
320,HSD17B6,7.5263740704292035
321,SEC14L6,7.516650622043136
322,SOCS2,7.50799604421402
323,GDF2,7.501812567508938
324,GRIA1,7.492446596255715
325,ITIH5,7.485811565984736
326,DIPK1A,7.471803169183186
327,MMRN2,7.470381470289476
328,GDF10,7.454791142576534
329,BRAT1,7.454393350707575
330,FGR,7.451915885836742
331,ANXA3,7.430724263045264
332,AATF,7.412280708816164
333,MTIF2,7.401207014802084
334,SOX17,7.395781971902162
335,HYAL1,7.36701444413279
336,STAC,7.366913557176925
337,SH2D3C,7.36291190456426
338,SMARCD2,7.359590151983754
339,DOP1B,7.351330649307473
340,COL6A6,7.342437455071654
341,DACH1,7.329371580096001
342,MSI2,7.319322075536234
343,GRIK4,7.318267666925543
344,PTS,7.311330616776648
345,GLIPR2,7.3089312647749445
346,MSRB3,7.304932153981058
347,SYT15,7.29352423503375
348,PID1,7.2666528834676125
349,DDOST,7.260321999072767
350,KLB,7.255901829774332
351,KIF17,7.234016742342969
352,CNPY2,7.223709310527793
353,CORO1B,7.219437628761719
354,JCAD,7.219314527710115
355,AOC3,7.215177053042488
356,ZNF334,7.197440013949603
357,TAMALIN,7.188096413311168
358,THBD,7.171829286272676
359,WIF1,7.169621236618845
360,ANOS1,7.168491383446437
361,SLC14A1,7.1430675167784905
362,MFAP3L,7.136729333158757
363,MRPL21,7.127853779166308
364,ACTN2,7.119477659280034
365,DNASE1L3,7.115770023061109
366,LRRC2,7.104057966006383
367,NEDD9,7.10202012355185
368,RASIP1,7.0841114548094986
369,ADGRE1,7.083607567533299
370,CHRM2,7.082585215947561
371,STOML2,7.058328289260317
372,GTF3C6,7.045947956160665
373,RAPGEF4,7.022425713056387
374,TTLL4,7.016599154109404
375,SCN4B,7.0148534726307314
376,KCNAB1,6.999194733075237
377,USP10,6.991562806567192
378,LHFPL6,6.982364024487564
379,HYLS1,6.9386822991285415
380,ADRB1,6.937487042863537
381,C12orf45,6.927696246839415
382,PIP5K1B,6.927270712332707
383,CLIC3,6.918374167821421
384,NUP43,6.918101329136529
385,HEG1,6.916031456451614
386,VWC2,6.911655393931832
387,RPGRIP1L,6.903144651693346
388,AHNAK,6.896555912175266
389,NOVA2,6.894429582529494
390,CPED1,6.889112347135573
391,RAB34,6.87622450003192
392,CRTAC1,6.87450529457202
393,CCM2L,6.8663638933619255
394,GSTM5,6.86234082801834
395,SMAD6,6.8610384174898815
396,ABCF2,6.856099034162086
397,PLAC9,6.852436158072033
398,LIG3,6.849695335771032
399,NEBL,6.8207816608160154
400,SLC4A1,6.814951853135142
401,C1QTNF7,6.809099686234497
402,CDH19,6.800369779472421
403,MSTO1,6.7962227925074865
404,ADRM1,6.792104098931441
405,ANKEF1,6.787600217837353
406,RETN,6.775672180751995
407,EFEMP1,6.762996938987815
408,SLC27A6,6.760493119095603
409,RASGRP4,6.751186528996904
410,MYCT1,6.731206363445326
411,SPARCL1,6.727584496790662
412,ZBED5,6.727309509935766
413,SCN7A,6.7266850538239265
414,CXCR2,6.713461001452593
415,SYN2,6.707754995049084
416,CD93,6.704974858350405
417,TRAPPC3L,6.702549001559259
418,ABLIM3,6.699625881765289
419,TNR,6.699118460238659
420,FCGR3B,6.6975269963094055
421,RABIF,6.696584656315547
422,DEPDC5,6.69261484723496
423,CLEC4M,6.6868492967134125
424,ARHGEF15,6.6768455854146245
425,MARS2,6.653604160331676
426,CAMP,6.6490218231404254
427,MPLKIP,6.648947217844753
428,PALB2,6.642676735424718
429,TBC1D10B,6.629102104833954
430,PARS2,6.625204981057403
431,IL3RA,6.617202884522146
432,CACNA2D2,6.61612542041291
433,C1orf162,6.6147278599028025
434,BRCC3,6.614487430525565
435,DHX57,6.603309380911198
436,SEPTIN9,6.589657785778892
437,THSD1,6.58655000544914
438,MEFV,6.576426808717458
439,LRRK2,6.572755917305099
440,GRK5,6.57242895648985
441,SEMA6D,6.564519178324172
442,ZNF280C,6.55673947395553
443,EFCC1,6.541348981548981
444,EBNA1BP2,6.534037692341029
445,TUFM,6.532677184309897
446,NUP35,6.5317171040168605
447,NPNT,6.516254227474387
